key,en,ru,kz,id,de
bot,Bot,Бот,Бот,Bot,Bot
dar_vis,DAR Vis,ДАР Вис,DAR Vis,DAR Vis,DAR Vis
hello_dar_vis,"Hey there! I'm DAR Vis, your virtual AI assistant in the darlean Ecosystem. My goal is to automate your daily tasks, save you time, and boost efficiency. Stay tuned and explore available commands.","Привет! Я ДАР Вис — ваш виртуальный ИИ-ассистент в экосистеме darlean. Моя задача — автоматизировать вашу ежедневные задачи, сэкономить время и повысить эффективность. Следите за обновлениями и изучайте доступные команды уже сейчас! ","Сәлем! Мен DAR Vis - darlean экожүйесіндегі ЖИ көмекшіңізбін. Менің мақсатым - күнтәртібіңізді автоматтандырып, уақытыңызды үнемдеп, өнімді жұмыс істеуіңізге жағдай жасау. Бізбен бірге болып, қолжетімді командаларды қолданып көріңіз. ","Hai! Saya DAR Vis, asisten AI virtual Anda di DAR Lean Ecosystem. Tujuan saya adalah membantu Anda, dengan otomatisasi tugas sehingga menghemat waktu dan meningkatkan efisiensi. Pantau terus dan jelajahi perintah yang tersedia.","Hallo! Ich bin DAR Vis - Ihr virtueller KI-Assistent im DAR Lean Ökosystem. Mein Ziel ist es, Ihre tägliche Routine zu automatisieren, Zeitverschwendung zu minimieren und Ihre Effizienz zu optimieren. Jeden Tag lerne ich etwas Neues von Ihnen. Bleiben Sie bitte dran und probieren Sie die verfügbaren Funktionen aus.
"
personal_assistant_agent,Personal Assistant,Личный помощник-агент,Жеке көмекші,Asisten Pribadi,Persönlicher Assistent
personal_assistant_agent1_description,Optimize your meetings and task organization with our Personal Assistant Agent. Enjoy meeting summaries and seamless task creation.,Оптимизируйте свои встречи и управление задачами с помощью нашего личного помощника-агента. Наслаждайтесь резюме встреч и быстрым созданием задач,Жеке Көмекші Агент көмегімен кездесулеріңіз бен тапсырма ұйымдастыруды оңтайландырыңыз. Кездесу хаттамалары мен шектеусіз жаңа тапсырма бастаудың қызығын көріңіз.  ,Optimalkan pertemuan dan pengaturan tugas Anda dengan Agen Asisten Pribadi kami. Nikmati ringkasan rapat dan pembuatan tugas yang lancar.,"Optimieren Sie Ihre Besprechungen und Ihr Aufgabenmanagement mit unserem persönlichen Assistenten, der Besprechungszusammenfassungen und die Erstellung von Aufgaben bietet."
personal_assistant_agent2_description,Effortlessly locate any document with contextual search through our interactive document chat.,Находите любой документ в вашей системе с помощью контекстного поиска нашего личного помощника-агента. Он позволит взаимодействовать с документами в интерактивном чате,Интерактив құжат чаты арқылы кез келген құжатыңызды контекст іздеу арқылы оңай табыңыз,Temukan dokumen dengan mudah dengan pencarian kontekstual melalui obrolan dokumen interaktif kami.,Finden Sie mühelos jedes Dokument mit kontextueller Suche durch unseren interaktiven Dokumenten-Chat.
intro_question,How can I help you today?,Чем я могу вам сегодня помочь?,Сізге бүгін қалай көмектесе аламын? ,Apa yang bisa saya bantu hari ini?,"Wie kann ich Ihnen heute helfen?
"
intent_meeting_summary,Meeting summary,Резюме встречи,Кездесу мазмұны,Ringkasan Pertemuan,Besprechungszusammenfassung
intent_create_task,Create task,Создай задачу,Тапсырма бастау,Buat Tugas,Aufgabe erstellen
intent_find_document,Find document,Найди документ,Құжат табу,Cari Dokumen,Dokument finden
you,You,Вы,Сіз,Anda,Sie
provide_meeting_summary,Provide the meeting summary,Предоставь резюме встречи,Кездесу мазмұнын беру,Berikan Ringkasan Pertemuan,Besprechungszusammenfassung geben
request_error,Seems like there was an issue processing your request. Please try again,"Похоже, при обработке вашего запроса возникла какая-то ошибка. Попробуйте позже.",Сұранысыңызды орындап жатқанда қате табылған сияқты. Қайта көріңізші. ,Ups! 🛠️ Sepertinya ada masalah saat memproses permintaan Anda. Silakan coba lagi.,Oops! 🛠️ Es scheint ein Problem bei der Bearbeitung Ihrer Anfrage gegeben zu haben. Bitte versuchen Sie es erneut.
input_error,We couldn't understand your request. Make sure to use valid characters and try again.,"Мы не смогли понять ваш запрос. Убедитесь, что используете допустимые символы и попробуйте позднее","Сұранысыңызды түсіне алмадық. Рұқсат етілген символдарды қолданып, қайта көруіңізді сұраймыз. ","Maaf, 😕 Kami tidak dapat memahami masukan Anda. Pastikan untuk menggunakan karakter yang benar dan coba lagi.","Es tut uns leid, 😕 wir konnten Ihre Anfrage nicht verstehen. Verwenden Sie bitte gültige Zeichen und versuchen Sie es erneut."
rating_helpful,Was it helpful?,Вам помогли?,Көмектесті ме?,Apakah itu membantu?,War es hilfreich?
rating_experience,Rate your experience,Оцените ваш опыт,Бағалап кетіңіз,Nilai pengalaman Anda?,Bewerten Sie bitte
rating_good,Good,Хорошо,Жақсы,Baik,Gut
rating_bad,Bad,Плохо,Нашар,Buruk,Schlecht
day_today,Today,Сегодня,Бүгін,Hari ini,Heute
day_yesterday,Yesterday,Вчера,Кеше,Kemarin,Gestern
day_monday,Monday,Понедельник,Дүйсенбі,Senin,Montag
day_tuesday,Tuesday,Вторник,Сейсенбі,Selasa,Dienstag
day_wednesday,Wednesday,Среда,Сәрсенбі,Rabu,Mittwoch
day_thursday,Thursday,Четверг,Бейсенбі,Kamis,Donnerstag
day_friday,Friday,Пятница,Жұма,Jumat,Freitag
day_saturday,Saturday,Суббота,Сенбі,Sabtu,Samstag
day_sunday,Sunday,Воскресенье ,Жексенбі,Minggu,Sonntag
month_january,January,Январь,Қаңтар,Januari,Januar
month_february,February,Февраль,Ақпан,Februari,Februar
month_march,March,Март,Наурыз,Maret,März
month_april,April,Апрель,Сәуір,April,April
month_may,May,Май,Мамыр,Mei,Mai
month_june,June,Июнь,Маусым,Juni,Juni
month_july,July,Июль,Шілде,Juli,Juli
month_august,August,Август,Тамыз,Agustus,August
month_september,September,Сентябрь ,Қыркүйек,September,September
month_october,October,Октябрь ,Қазан,Oktober,Oktober
month_november,November,Ноябрь,Қараша,November,November
month_december,December,Декабрь,Желтоқсан,Desember,Dezember
response_meeting_summary,Thanks for the clarification! Here is a summary of the meeting:,Спасибо за уточнение! Вот резюме встречи,Нақтылағаныңызға рахмет! Кездесу хаттамасы мінекей:,Terima kasih atas klarifikasinya! Berikut adalah ringkasan pertemuan tersebut:,Vielen Dank für die Aufklärung! Hier ist eine Besprechungszusammenfassung:
intent_create_suggested_tasks,Create suggested tasks,Создать предлагаемые задачи,Тапсырмаңызды бастаңыз,Buat tugas yang disarankan,Vorgeschlagene Aufgaben erstellen
no_create_suggested_tasks,Do not create suggested tasks,Не создавать предлагаемые задачи,Тапсырма бастамай тұра тұрыңыз,Jangan buat tugas yang disarankan,Erstellen Sie keine vorgeschlagenen Aufgaben
task_custom creation,Custom task creation,Создание пользовательской задачи,Жеке тапсырма бастау,Pembuatan tugas khusus,Erstellung benutzerdefinierter Aufgaben
yes,Yes ,Да,Иә,Ya,Ja
